domain,page_url,found_type,value,anchor_text,context_snippet,relevance_score,status_code,note,detected_language,language_confidence
bbc.com,https://www.bbc.com/pages/privacy-policy,email,dataprotection@bbc.com,,"and you become aware that your child has provided us with information without your authorisation, please contact us at dataprotection@bbc.com . Back to top 9. YOUR RIGHTS & CHOICES You have a number of rights and choices available to you in relation to personal",100,200,text_email,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,mailto,dataprotection@bbc.com,dataprotection@bbc.com,"and you become aware that your child has provided us with information without your authorisation, please contact us at dataprotection@bbc.com . Back to top 9. YOUR RIGHTS & CHOICES You have a number of rights and choices available to you in relation to personal",100,200,mailto_link,en,0.89114046
bbc.com,https://www.bbc.com/,link,https://www.bbc.com/culture/article/20260115-how-the-1950s-red-scare-erased-a-us-icon,"How the 1950s 'Red Scare' erased a US icon Paul Robeson was a superstar of the stage and screen, a talented football player and a music hitmaker. Then came a dramatic fall from grace.","is the first of the verdicts in the four trials linked to Yoon's shock decree in 2024. 5 hrs ago Asia Only from the BBC How the 1950s 'Red Scare' erased a US icon Paul Robeson was a superstar of the stage and screen, a talented football player and a music hitmaker. Then came a dramatic fall from grace. The life-or-death plan to evacuate a space station Astronauts orbiting the Earth are drilled to deal with the worst pos",60,200,keyword_link,en,0.88091207
bbc.com,https://www.bbc.com/,link,https://www.bbc.com/pages/privacy-policy,Privacy Policy,namese TIẾNG VIỆT Welsh NEWYDDION Yoruba ÌRÒYÌN NÍ YORÙBÁ Follow BBC on: Terms of Use Subscription Terms About the BBC Privacy Policy Cookies Accessibility Help Contact the BBC Advertise with us Do not share or sell my info BBC.com Help & FAQs Content I,60,200,keyword_link,en,0.88091207
bbc.com,https://www.bbc.com/,link,https://www.bbc.co.uk/contact,Contact the BBC,ÌRÒYÌN NÍ YORÙBÁ Follow BBC on: Terms of Use Subscription Terms About the BBC Privacy Policy Cookies Accessibility Help Contact the BBC Advertise with us Do not share or sell my info BBC.com Help & FAQs Content Index Copyright 2026 BBC. All rights reserve,60,200,keyword_link,en,0.88091207
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://www.bbcstudios.com/contact/our-locations/,Find out more about our group of companies and their locations,"business operating as BBC Studios Distribution, BBC Studios Productions, and BBC Global News (and their subsidiaries). Find out more about our group of companies and their locations . This Privacy Policy relates to our global content distribution and marketing activities, including: International ver",60,200,keyword_link,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://www.bbc.co.uk/usingthebbc/privacy-policy/,which you can view here,"ticles or send in your photos and videos to News teams. These are all covered by the BBC Public Service privacy policy, which you can view here . Linked Services: Sometimes we link to other companies’ services, like articles published on other sites. Similarly, y",60,200,keyword_link,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://productions.bbcstudios.com/privacy-policy,its Contributor Privacy Policy,"are a contributor to one of our programmes, the processing of your information by BBC Studios Productions is covered by its Contributor Privacy Policy , unless expressly indicated otherwise. Employees: Employees, workers and contractors should refer to the BBC People Pr",60,200,keyword_link,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://careers.bbc.co.uk/content/BBC-Careers-Privacy-Notice/?locale=en_GB,Careers Site Privacy Notice,o the BBC People Privacy Notice. Candidates: Candidates and applicants for roles at BBC Studios should refer to the BBC Careers Site Privacy Notice . Back to top 2. HOW WE COLLECT INFORMATION ABOUT YOU The types of information we collect depends on the circumstances,60,200,keyword_link,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://account.bbc.com/account/settings/privacy,BBC Account settings,r services and engage our consumers and audiences on third-party platforms subject to your marketing preferences and/or BBC Account settings . Consent to receive newsletters and targeted advertising. G. To show advertising to you on our services and understand,60,200,keyword_link,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://www.bbc.co.uk/usingthebbc/privacy/do-you-share-my-data,Read more about data sharing by BBC Public Service,"nt with one of the commercial services run by us, BBCS Public Service will therefore share a copy of your data with us. Read more about data sharing by BBC Public Service . B. Information shared with our suppliers We use third parties to perform business functions on our behalf, such as s",60,200,keyword_link,en,0.89114046
bbc.com,https://www.bbc.com/pages/privacy-policy,link,https://account.bbc.com/account/settings/privacy/yourdata,via your account,"on about your BBC account: To see what information exists about your BBC account and activities, you can make a request via your account . D. Correct your information You can request to correct any incomplete or inaccurate personal information we hold abo",60,200,keyword_link,en,0.89114046
